id,symbol,side,type,quantity,filled_quantity,entry_price,fill_price,slippage,entry_fee,exit_price,exit_fee,total_cost,total_proceeds,net_pnl,net_pnl_pct,status,created_at,filled_at,closed_at
PAPER-20260716104441-0001,ATM/USDT,BUY,MARKET,2615.52,2615.52,2.294,2.2946882,0.0006881999999999999,6.001802880864,0.0,0.0,6007.804683744864,0.0,0.0,0.0,FILLED,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,
PAPER-20260716104442-0002,SUN/USDT,BUY,MARKET,130434.78,130434.78,0.0184,0.018405519999999998,5.52e-06,2.4007199519855997,0.0,0.0,2403.1206719375855,0.0,0.0,0.0,FILLED,2026-07-16T10:44:42.887938+00:00,2026-07-16T10:44:42.887938+00:00,
PAPER-20260716113249-0001,ATM/USDT,SELL,MARKET,784.656,784.656,2.2946882,2.3320203839399998,0.0006998160599999999,0.0,2.3320203839399998,1.8298337863808245,0.0,1828.0039525944437,25.66,1.42,CLOSED,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113249-0002,ATM/USDT,SELL,MARKET,784.656,784.656,2.2946882,2.370728977877,0.000711432123,0.0,2.370728977877,1.8602067168650551,0.0,1858.34651014819,56.01,3.11,CLOSED,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113249-0003,ATM/USDT,SELL,MARKET,1046.208,1046.208,2.2946882,2.409437561817,0.000723048183,0.0,2.409437561817,2.5207728526734403,0.0,2518.252079820767,115.13,4.79,CLOSED,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113250-0004,SUN/USDT,SELL,MARKET,130434.78,130434.78,0.018405519999999998,0.018196929283,5.460716999999999e-06,0.0,0.018196929283,2.3735124677036623,0.0,2371.1389552359587,-31.98,-1.33,CLOSED,2026-07-16T10:44:42.887938+00:00,2026-07-16T10:44:42.887938+00:00,2026-07-16T11:32:50.615129+00:00
PAPER-20260716132122-0003,SKY/USDT,BUY,MARKET,97244.73,97244.73,0.0617,0.06171851,1.8509999999999997e-05,6.0017998409523,0.0,0.0,6007.801640793252,0.0,0.0,0.0,FILLED,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,
PAPER-20260716132124-0004,SUSHI/USDT,BUY,MARKET,14302.74,14302.74,0.1678,0.16785034000000001,5.0339999999999996e-05,2.4007197719316,0.0,0.0,2403.1204917035316,0.0,0.0,0.0,FILLED,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,
PAPER-20260716133500-0005,ZEN/USDT,BUY,MARKET,409.5432,409.5432,4.277,4.2782831,0.0012831,1.7521417512799204,0.0,0.0,1753.8938930312002,0.0,0.0,0.0,FILLED,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,
PAPER-20260716140456-0001,SPK/USDT,BUY,MARKET,341530.05,0.0,0.017568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:04:56.523560+00:00,,
PAPER-20260716140456-0002,HOLO/USDT,BUY,MARKET,33195.02,0.0,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:04:56.524124+00:00,,
PAPER-20260716141133-0003,TOWNS/USDT,BUY,MARKET,2898550.72,0.0,0.00207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:11:33.913965+00:00,,
PAPER-20260716141133-0004,BNT/USDT,BUY,MARKET,8534.85,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:11:33.914144+00:00,,
